id_person,name_person,address_person,phone,e_mail,identification,FK_person_type,FK_tattoo_shop
1500,Tatuador 1,Cra 0A 4567 No.1,3114567891,falso_email_1@mail.com,1234567890,1110,1
1501,Tatuador 2,Cra 1A 4568 No.2,3114567892,falso_email_2@mail.com,1234568791,1110,2
1502,Tatuador 3,Cra 2A 4567 No.3,3114567893,falso_email_3@mail.com,1234567892,1110,3
1503,Tatuador 4,Cra 3A 4568 No.4,3114567894,falso_email_4@mail.com,1234568193,1110,4
1504,Tatuador 5,Cra 4A 4568 No.5,3114567895,falso_email_5@mail.com,1234568194,1110,5
1505,Tatuador 6,Cra 5A 4568 No.6,3114567896,falso_email_6@mail.com,1234568195,1110,6
1506,Tatuador 7,Cra 6A 4568 No.7,3114567897,falso_email_7@mail.com,1234568196,1110,7
1507,Tatuador 8,Cra 7A 4568 No.8,3114567898,falso_email_8@mail.com,1234568197,1110,8
1508,Tatuador 9,Cra 8A 4568 No.9,3114567899,falso_email_9@mail.com,1234568198,1110,9
1509,Tatuador 10,Cra 9A 4568 No.10,3114567900,falso_email_10@mail.com,1234568199,1110,10
1510,Tatuador 11,Cra 0A 4568 No.11,3114567901,falso_email_11@mail.com,1234568200,1110,11
1511,Tatuador 12,Cra 1A 4568 No.12,3114567902,falso_email_12@mail.com,1234568201,1110,12
1512,Tatuador 13,Cra 2A 4568 No.13,3114567903,falso_email_13@mail.com,1234568202,1110,13
1513,Tatuador 14,Cra 3A 4568 No.14,3114567904,falso_email_14@mail.com,1234568203,1110,14
1514,Tatuador 15,Cra 4A 4568 No.15,3114567905,falso_email_15@mail.com,1234568204,1110,15
1515,Tatuador 16,Cra 5A 4568 No.16,3114567906,falso_email_16@mail.com,1234568205,1110,16
1516,Tatuador 17,Cra 6A 4568 No.17,3114567907,falso_email_17@mail.com,1234568206,1110,17
1517,Tatuador 18,Cra 7A 4568 No.18,3114567908,falso_email_18@mail.com,1234568207,1110,18
1518,Tatuador 19,Cra 8A 4568 No.19,3114567909,falso_email_19@mail.com,1234568208,1110,19
1519,Tatuador 20,Cra 9A 4568 No.20,3114567910,falso_email_20@mail.com,1234568209,1110,20
1520,Tatuador 21,Cra 0A 4568 No.21,3114567911,falso_email_21@mail.com,1234568210,1110,21
1521,Tatuador 22,Cra 1A 4568 No.22,3114567912,falso_email_22@mail.com,1234568211,1110,22
1522,Proveedor 1,Cra 2R 4568 No.1,3124567891,falso_email_23@mail.com,1234568212,1111,1
1523,Proveedor 2,Cra 3R 4568 No.2,3124567892,falso_email_24@mail.com,1234568213,1111,2
1524,Proveedor 3,Cra 4R 4568 No.3,3124567893,falso_email_25@mail.com,1234568214,1111,3
1525,Proveedor 4,Cra 5R 4568 No.4,3124567894,falso_email_26@mail.com,1234568215,1111,4
1526,Proveedor 5,Cra 6R 4568 No.5,3124567895,falso_email_27@mail.com,1234568216,1111,5
1527,Proveedor 6,Cra 7R 4568 No.6,3124567896,falso_email_28@mail.com,1234568217,1111,6
1528,Proveedor 7,Cra 8R 4568 No.7,3124567897,falso_email_29@mail.com,1234568218,1111,7
1529,Proveedor 8,Cra 9R 4568 No.8,3124567898,falso_email_30@mail.com,1234568219,1111,8
1530,Proveedor 9,Cra 0R 4568 No.9,3124567899,falso_email_31@mail.com,1234568220,1111,9
1531,Proveedor 10,Cra 1R 4568 No.10,3124567900,falso_email_32@mail.com,1234568221,1111,10
1532,Joyero 1,Cra 2O 4568 No.1,3134567891,falso_email_33@mail.com,1234568222,1112,1
1533,Joyero 2,Cra 3O 4568 No.2,3134567892,falso_email_34@mail.com,1234568223,1112,2
1534,Joyero 3,Cra 4O 4568 No.3,3134567893,falso_email_35@mail.com,1234568224,1112,3
1535,Joyero 4,Cra 5O 4568 No.4,3134567894,falso_email_36@mail.com,1234568225,1112,4
1536,Joyero 5,Cra 6O 4568 No.5,3134567895,falso_email_37@mail.com,1234568226,1112,5
1537,Joyero 6,Cra 7O 4568 No.6,3134567896,falso_email_38@mail.com,1234568227,1112,6
1538,Joyero 7,Cra 8O 4568 No.7,3134567897,falso_email_39@mail.com,1234568228,1112,7
1539,Joyero 8,Cra 9O 4568 No.8,3134567898,falso_email_40@mail.com,1234568229,1112,8
1540,Joyero 9,Cra 0O 4568 No.9,3134567899,falso_email_41@mail.com,1234568230,1112,9
1541,Joyero 10,Cra 1O 4568 No.10,3134567900,falso_email_42@mail.com,1234568231,1112,10
1542,Nombre cliente 1,Cra 2O 4568 No.1,3144567891,falso_email_43@mail.com,1234568232,1113,1
1543,Nombre cliente 2,Cra 3O 4568 No.2,3144567892,falso_email_44@mail.com,1234568233,1113,2
1544,Nombre cliente 3,Cra 4O 4568 No.3,3144567893,falso_email_45@mail.com,1234568234,1113,3
1545,Nombre cliente 4,Cra 5O 4568 No.4,3144567894,falso_email_46@mail.com,1234568235,1113,4
1546,Nombre cliente 5,Cra 6O 4568 No.5,3144567895,falso_email_47@mail.com,1234568236,1113,5
1547,Nombre cliente 6,Cra 7O 4568 No.6,3144567896,falso_email_48@mail.com,1234568237,1113,6
1548,Nombre cliente 7,Cra 8O 4568 No.7,3144567897,falso_email_49@mail.com,1234568238,1113,7
1549,Nombre cliente 8,Cra 9O 4568 No.8,3144567898,falso_email_50@mail.com,1234568239,1113,8
1550,Nombre cliente 9,Cra 0O 4568 No.9,3144567899,falso_email_51@mail.com,1234568240,1113,9
1551,Nombre cliente 10,Cra 1O 4568 No.10,3144567900,falso_email_52@mail.com,1234568241,1113,10
1552,Nombre cliente 11,Cra 2O 4568 No.11,3144567901,falso_email_53@mail.com,1234568242,1113,11
1553,Nombre cliente 12,Cra 3O 4568 No.12,3144567902,falso_email_54@mail.com,1234568243,1113,12
1554,Nombre cliente 13,Cra 4O 4568 No.13,3144567903,falso_email_55@mail.com,1234568244,1113,13
1555,Nombre cliente 14,Cra 5O 4568 No.14,3144567904,falso_email_56@mail.com,1234568245,1113,14
1556,Nombre cliente 15,Cra 6O 4568 No.15,3144567905,falso_email_57@mail.com,1234568246,1113,15
1557,Nombre cliente 16,Cra 7O 4568 No.16,3144567906,falso_email_58@mail.com,1234568247,1113,16
1558,Nombre cliente 17,Cra 8O 4568 No.17,3144567907,falso_email_59@mail.com,1234568248,1113,17
