idEstudiante,nombreEstudiante,semestre,idAsignatura,nombreAsignatura,idPrograma,idSeccional
123450,Paquito Fernandez,Segundo,15731,Microbiología,10598,13
123451,Nikol Guitierrez,Segundo,15732,Refracción Objetiva,10598,13
123452,Given Morales,Segundo,15733,Óptica Geométrica,10598,13
123453,Fuyu Noceda,Segundo,15734,Antropología,10598,13
123454,Marcos Alarcon,Segundo,15735,Cátedra de Profundización Profesional I: Lenguaje Gestual,10598,13
123455,Daniel Rojas,Segundo,15736,Cátedra de Profundización Profesional I: Primeros Auxilios,10598,13
123456,Daniel Gaona,Segundo,15737,Cátedra Opcional Institucional I,10598,13
123457,Jose Vargas,Segundo,15738,Lengua Extranjera II,10598,13
123458,Fernanda Jimenez,Quinto,15646,Campañas Promocionales,10545,12
123459,Steven Martinez,Quinto,15647,Ecodiseño,10545,12
123460,Dayan Gonzalez,Quinto,15648,Teoria del Diseño,10545,12
123461,Yeimy Astrid,Quinto,15649,Fundamentos de Administracion,10545,12
123462,Miguel Cendales,Quinto,15650,Investigacion II,10545,12
123463,Angelo Zapatero,Quinto,15651,Filosofia politica,10545,12
123464,Henry Narvaez,Quinto,15652,Ingles IV,10545,12
123465,Yeimy Dayana,Septimo,15560,Instrumentacion Industrial,10510,11
123466,Sebastian Monrroy,Septimo,15561,Electronica de Potencia,10510,11
123467,Alejo Gomez,Septimo,15562,Control analogico,10510,11
123468,Yuko Andrey,Septimo,15563,Comunicaciones inalambricas,10510,11
123469,Maleja Palomo,Septimo,15564,Optativa Administrativa I,10510,11
123470,Camilo Pardo,Septimo,15565,Cultura Teologica,10510,11
