id_persona,nombre,apellido,edad,dni_persona,pais_origen,fecha_nacimiento,direccion,descripcion,url,telefono,nit,FK_tipo_persona,FK_tienda_tattoo
1,Cliente Nombre 01,Cliente Apellido 01,,1049651,Colombia,19/06/1929,,Este es un cliente 01,,7201234561,,1,
2,Cliente Nombre 02,Cliente Apellido 02,,1049652,Colombia,2/01/1911,,Este es un cliente 02,,7201234562,,1,
3,Cliente Nombre 03,Cliente Apellido 03,,1049653,Colombia,7/04/1935,,Este es un cliente 03,,7201234563,,1,
4,Cliente Nombre 04,Cliente Apellido 04,,1049654,Colombia,3/11/1916,,Este es un cliente 04,,7201234564,,1,
5,Cliente Nombre 05,Cliente Apellido 05,,1049655,Colombia,12/05/1912,,Este es un cliente 05,,7201234565,,1,
6,Cliente Nombre 06,Cliente Apellido 06,,1049656,Colombia,18/04/1919,,Este es un cliente 06,,7201234566,,1,
7,Cliente Nombre 07,Cliente Apellido 07,,1049657,Colombia,21/08/1906,,Este es un cliente 07,,7201234567,,1,
8,Proveedor Nombre 01,Proveedor Apellido 01,,1049658,USA,9/11/1910,Calle Fin del Mundo via 01,Este es un proveedor 01,esteestuproveedoroficial01@mail.com,7201234568,P-123456789,2,
9,Proveedor Nombre 02,Proveedor Apellido 02,,1049659,USA,5/01/1915,Calle Fin del Mundo via 02,Este es un proveedor 02,esteestuproveedoroficial02@mail.com,7201234569,P-123456790,2,
10,Proveedor Nombre 03,Proveedor Apellido 03,,1049660,USA,13/11/1910,Calle Fin del Mundo via 03,Este es un proveedor 03,esteestuproveedoroficial03@mail.com,7201234570,P-123456791,2,
11,Proveedor Nombre 04,Proveedor Apellido 04,,1049661,USA,9/06/1923,Calle Fin del Mundo via 04,Este es un proveedor 04,esteestuproveedoroficial04@mail.com,7201234571,P-123456792,2,
12,Proveedor Nombre 05,Proveedor Apellido 05,,1049662,USA,20/04/1915,Calle Fin del Mundo via 05,Este es un proveedor 05,esteestuproveedoroficial05@mail.com,7201234572,P-123456793,2,
13,Proveedor Nombre 06,Proveedor Apellido 06,,1049663,USA,7/08/1934,Calle Fin del Mundo via 06,Este es un proveedor 06,esteestuproveedoroficial06@mail.com,7201234573,P-123456794,2,
14,Proveedor Nombre 07,Proveedor Apellido 07,,1049664,USA,20/06/1924,Calle Fin del Mundo via 07,Este es un proveedor 07,esteestuproveedoroficial07@mail.com,7201234574,P-123456795,2,
15,Tatuador Nombre 01,Tatuador Apellido 01,,1049665,Colombia,8/07/1906,Cl. 29 ##10a-1,Este es un artista 01,https://www.instagram.com/tattootunja_saloonprive/?r=nametag,311 5287058,123.456.789-D,3,4
